"scenario","scale_var","scale_value","n_rows","n_subject","n_item","n_random_effect_coefficients","random_terms","formula","engine","n_reps","n_ok","n_fail","median_sec","min_sec","max_sec","fits_per_sec","speedup_vs_lme4"
"rows","rows",500,500,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","mixeff",5,5,0,0.00300000000000011,0.00299999999999989,0.004,333.333333333321,2.33333333333328
"rows","rows",1000,1000,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","lme4",5,5,0,0.00800000000000001,0.00700000000000012,0.0089999999999999,125,1
"rows","rows",1000,1000,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","mixeff",5,5,0,0.004,0.004,0.004,250,2
"rows","rows",2500,2500,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","lme4",5,5,0,0.0129999999999999,0.00999999999999979,0.0170000000000003,76.9230769230775,1
"rows","rows",2500,2500,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","mixeff",5,5,0,0.00499999999999989,0.00499999999999989,0.00800000000000001,200.000000000004,2.60000000000004
"rows","rows",5000,5000,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","lme4",5,5,0,0.0140000000000002,0.0139999999999993,0.0390000000000006,71.4285714285702,1
"rows","rows",5000,5000,50,NA,50,"(1 | subject)","y ~ x + (1 | subject)","mixeff",5,5,0,0.00700000000000056,0.00699999999999967,0.0110000000000001,142.857142857131,1.99999999999987
"slopes","subject levels",25,250,25,NA,50,"(1 + x | subject)","y ~ x + (1 + x | subject)","lme4",5,5,0,0.00900000000000034,0.00799999999999912,0.011000000000001,111.111111111107,1
"slopes","subject levels",25,250,25,NA,50,"(1 + x | subject)","y ~ x + (1 + x | subject)","mixeff",5,5,0,0.00699999999999967,0.00300000000000011,0.00900000000000034,142.85714285715,1.28571428571439
"slopes","subject levels",50,500,50,NA,100,"(1 + x | subject)","y ~ x + (1 + x | subject)","lme4",5,5,0,0.0109999999999992,0.00900000000000034,0.0130000000000017,90.9090909090972,1
"slopes","subject levels",50,500,50,NA,100,"(1 + x | subject)","y ~ x + (1 + x | subject)","mixeff",5,5,0,0.00400000000000134,0.00399999999999778,0.00500000000000078,249.999999999917,2.74999999999889
"slopes","subject levels",100,1000,100,NA,200,"(1 + x | subject)","y ~ x + (1 + x | subject)","lme4",5,5,0,0.0129999999999981,0.0120000000000005,0.0130000000000017,76.923076923088,1
"slopes","subject levels",100,1000,100,NA,200,"(1 + x | subject)","y ~ x + (1 + x | subject)","mixeff",5,5,0,0.00799999999999912,0.00600000000000023,0.0120000000000005,125.000000000014,1.62499999999994
"slopes","subject levels",200,2000,200,NA,400,"(1 + x | subject)","y ~ x + (1 + x | subject)","lme4",5,5,0,0.017000000000003,0.0159999999999982,0.0180000000000007,58.8235294117543,1
"slopes","subject levels",200,2000,200,NA,400,"(1 + x | subject)","y ~ x + (1 + x | subject)","mixeff",5,5,0,0.00799999999999912,0.0069999999999979,0.00800000000000267,125.000000000014,2.12500000000061
